Código;GT;Autores;Instituciones
5339 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Martha Lorena Chamorro Unigarro; 1Alba Jakeline Ruano Jimenez";1 - Universidad de Nariño
5340 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Anthony García Marín;1 - UNED
5341 ;12. sociología de la cultura, arte e interculturalidad;1Andrés Julián Caicedo Salcedo;1 - Universidad Nacional de Colombia
5342 ;20. Sociología de la Religión;1Pedro Orozco Espinosa;1 - Universidad Autónoma de Zacatecas
5343 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Steven Navarrete Cardona;1 - Universidad Nacional de Colombia
5344 ;19. Acciones Colectivas y Movimientos Sociales;1Federico Luis Schuster;1 - Universidad de Buenos Aires
5345 ;19. Acciones Colectivas y Movimientos Sociales;1Indira Raquel Sierra Oviedo;1 - Universidad Nacional de Colombia
5347 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Julieta Curiel;1 - UABC
5348 ;17. Trabajo y Restructuración Productiva;1María Guadalupe Ordaz Cervantes;1 - Universidad de Guanajuato
5349 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Ramiro Llanos Paz;1 - UNSE
5350 ;07. Desarrollo Territorial, Desigualdades y descentralización;1Maria Fernanda Tomasini Padilla;1 - UAEM
5351 ;19. Acciones Colectivas y Movimientos Sociales;1Diego Isaac Álvarez Beltrán;1 - Universidad Nacional de Colombia
5352 ;03. Producción, Consumos Culturales y Medios de Comunicación;"1Daniel Antonio Dávila Barón; 1Andrés David Moreno Galindo";1 - Universidad Santo Tomás
5353 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Laura Gisella Moreira; 2Juan Cruz Goñi";1 - plenario de trabajadoras, 2 - apdh
5354 ;16. Universidad Latinoamericana: interpelaciones y desafíos;1Jaime Antonio Preciado Coronado;1 - Universidad de Guadalajara
5355 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Tatiana Da Silva Lima;1 - Universidade Federal Fluminense
5356 ;26. Sociología de los Cuerpos y las Emociones;"1Yareny Alejandra Sala Hernández; 1Eduardo Domingo Ovando Ramos; 1Bertha Elena Barrera Díaz; 1Reyna Victoria Sánchez Hernández; 1Vanessa De Los Ángeles Maldonado Pérez";1 - Universidad Juárez Autónoma de Tabasco
5357 ;06. Imaginarios Sociales y Memoria;1Juan Carlos Arboleda Ariza;1 - Universidad Pontificia Bolivariana
5358 ;26. Sociología de los Cuerpos y las Emociones;1Sandra Milena Franco Patiño;1 - Universidad de Caldas
5359 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Edwin Alberto Muñoz Gaviria;1 - Instituto de Pesquisa e Planejamento Urbano e Regional - Universidade Federal do Rio de Janeiro
5360 ;24. Sociología de la Educación y Políticas Educativas;1Irma Alicia González Anaya;1 - Secretaria de Educación en el Estado de Nuevo León
5361 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Alejandra Aponte;1 - Universidad Nacional de Colombia
5363 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1Nicole Alejandra Dinas Chinchilla; 1Mónica Alejandra Prieto Ramírez; 1Mónica Alejandra Rodríguez Baquero";1 - Universidad Santo Tomás
5366 ;06. Imaginarios Sociales y Memoria;1Florencia Urosevich;1 - Centro de Estudios sobre Genocidio (UNTREF)
5367 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Evangelina Tapia Tovar; 1Olivia Sánchez García; 1José Ramiro Alemán López; 1Magaly Alejandra Orenday Tapia";1 - Universidad Autónoma de Aguascalientes
5370 ;03. Producción, Consumos Culturales y Medios de Comunicación;1Susadny González Rodríguez;1 - Universidad de Guadalajara
5371 ;07. Desarrollo Territorial, Desigualdades y descentralización;"1Laura Peña; 1Catalina Mora; 2Tatiana Godoy";1 - SEPLA, 2 - SEPLA, CEALDES
5372 ;06. Imaginarios Sociales y Memoria;1Daniel Alberto Hernández Ospina;1 - Universidad de Antioquia
5373 ;07. Desarrollo Territorial, Desigualdades y descentralización;"1Adriana Margarita Araujo Ibarra; 1Cesia Karina Morales Balmaceda; 1Mariajosé Urrutia Fernandez";1 - UNIVERSIDAD POPULAR DEL CESAR
5374 ;16. Universidad Latinoamericana: interpelaciones y desafíos;1Steven Navarrete Cardona;1 - Universidad Nacional de Colombia
5375 ;26. Sociología de los Cuerpos y las Emociones;1Laura María Campos Morales;1 - Universidad del Valle
5377 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1Juan Pablo Romero Roisin; 1Marianna De Carmen Jaramillo Aranza";1 - UNAM
5378 ;19. Acciones Colectivas y Movimientos Sociales;"1Lisvet Carolina Pulido Valbuena; 2Luis Miguel Buitrago Roa";1 - Universidad Pedagógica Nacional, 2 - Universidad Naciona de Colombia
5379 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1Ginneth Esmeralda Narvaez Jaimes; 1Catalina Acosta Oidor";1 - Universidad Santo Tomás
5380 ;25. Integración Regional, Geopolítica y Desarrollo;"1Tatiana Godoy; 2Catalina Mora; 2Laura Peña";1 - SEPLA, CEALDES, 2 - SEPLA
5381 ;26. Sociología de los Cuerpos y las Emociones;"1Nashyeli Figueroa Galván; 2Ever Sánchez";1 - Coordinadora de Proyectos de Erandini A.C, 2 - Osorio
5382 ;26. Sociología de los Cuerpos y las Emociones;1Gezabel Guzmán Ramírez;1 - Universidad Autónoma de la Ciudad de México
5383 ;21. Sociología de la Niñez, Juventud y Envejecimiento;"1Gloria Elizabeth Garcia Hernandez; 2Nelly Caro Luján";1 - Universidad Autónoma Metropolitana, 2 - El Colegio Mexiquense
5385 ;06. Imaginarios Sociales y Memoria;1Cristina Varela Villasana;1 - Universidad de Guadalajara
5389 ;01. Ciencia, Tecnologías e Innovación;1Lilia Gonzalez Torres;1 - SEP-MICHOACAN
5390 ;15. Metodología y Epistemología de las Ciencias Sociales;1Carlos Roberto Horta;1 - UNIVERSIDADE FEDERAL DE MINAS GERAIS
5391 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Norma Angélica Vázquez Martínez;1 - Universidad Nacional Autónoma de México
5392 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Sergio Nicolas Poveda León; 1Valentina Aranguren Padilla";1 - Universidad Santo Tomás
5393 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Alejandro Suárez Pareyón; 1Montserrat García Rivera; 1Mariana Borja Rodríguez; 1René Flores Arenales";1 - FA-UNAM
5395 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Misael Gonzalez Ramirez;1 - FACULTAD DE DERECHO Y CIENCIAS SOCIALES / BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA
5396 ;06. Imaginarios Sociales y Memoria;1Jersi Aguirre Rivera;1 - UNAH
5397 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Andres Felipe Pereira Fuyo;1 - Universidad Nacional de Colombia
5400 ;06. Imaginarios Sociales y Memoria;1Nidia M. Montoya Escobar;1 - Universidad de Antioquia
5401 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Ulises Bonifacio Zarazúa Villaseñor;1 - Universidad de Guadalajara
5402 ;09. Estructura Social, Dinámica Demográfica y Migraciones;"1Alma Leticia Flores Avila; 1María Evangelina Salinas Escobar";1 - Universidad de Guadalajara
5403 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1David Maroto Gómez;1 - Universidad de Costa Rica
5404 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Teresa Castro Escudero;1 - CELA/FCPYS/UNAM
5405 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Nelly Josefa León Fuentes; 1Blanca Irene Valdivia Salas; 1Yesenia Cortés Irivas";1 - UNIVERSIDAD VERACRUZANA
5406 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Fabián Rodríguez Ramírez; 1Dora Leidi Avila Botello; 1Edson Abraham Gutiérrez Torres; 1Fabiola Sagrario Sosa Rodríguez";1 - UAM-A
5407 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Ana Berónica Palacios Gámaz; 1Guadalupe Palacios Gamas; 1Socorro Fonseca Córdoba; 1Norma Victoria Flores Martínez";1 - Universidad Autónoma de Chiapas
5408 ;24. Sociología de la Educación y Políticas Educativas;"1Alicia Rivera Carrillo; 1José Luis Dueñas García; 1Salvador Jiménez Lomelí";1 - DEEDUC-CUCSH-UDG
5410 ;12. sociología de la cultura, arte e interculturalidad;"1Raúl Alonso Alvarez Espinoza; 1Ximena Carolina Escobar Pimentel";1 - Pontificia Universidad Católica del Perú
5411 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Cristina Pizzonia;1 - Universidad Autónoma Metropolitana Xochimilco
5412 ;17. Trabajo y Restructuración Productiva;"1Juan Jose Morales Marquez; 1Elena De La Paz Hernández Aguila";1 - Universidad de Guadalajara
5413 ;06. Imaginarios Sociales y Memoria;1Jerry Alonso Mora Arias;1 - Universidad de Costa Rica
5414 ;24. Sociología de la Educación y Políticas Educativas;1Nelsy Elizabeth Sandoval Diaz;1 - UNAH
5416 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Shaila Aimee Madrid Ceron;1 - Universidad Autónoma de la Ciudad de México
5417 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Laura Rodas Sánchez;1 - UNAM
5418 ;19. Acciones Colectivas y Movimientos Sociales;"1Valentina Campos Cabral; 1Pamela Cortez Capetillo";1 - BUAP
5419 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Nani Sarli Barrantes Sanchez;1 - Universidad Santo Tomás
5420 ;15. Metodología y Epistemología de las Ciencias Sociales;"1Cristina Pizzonia; 2Angel José Martínez Salinas";1 - Universidad Autónoma Metropolitana Xochimilco, 2 - Universidad Autónoma de la Ciudad de México
5421 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Patricia Nicolás Flores;1 - Colegio de México
5423 ;12. sociología de la cultura, arte e interculturalidad;1Porfirio Alexis Clavel Quijano;1 - Universidad de Costa Rica
5424 ;01. Ciencia, Tecnologías e Innovación;1Evelyn Campos Acosta;1 - Universidad de Chile
5425 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Pablo Baeza Virgilio;1 - Universidad Central
5426 ;24. Sociología de la Educación y Políticas Educativas;1Arturo Martínez;1 - Universidad de Guadalajara
5427 ;17. Trabajo y Restructuración Productiva;1Yuleisy Fajardo Fernández;1 - Instituto Cubano de Antropología
5428 ;18. Salud y Seguridad Social;"1Nelsy Eliabeth Sandoval Diaz; 1Jose Jorgue Villafranca Godoy";1 - UNAH
5429 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;"1Silvia Iveth Moreno Gaytan; 1Mercedes A Jiménez Velázquez";1 - COLEGIO DE POSTGRADUADOS
5430 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Ariana Mendoza;1 - UNAM
5431 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Jacqueline Domitza Ruiz Solis;1 - Universidad Autónoma del Estado de México
5432 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Ariana Mendoza Fragoso;1 - UNAM
5434 ;17. Trabajo y Restructuración Productiva;"1Rosario Cota Yañez; 2Alberto Navarro Alvarado";1 - Universidad de Guadalajara, 2 - Tecnológico de Ciudad Guzman
5435 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Evangelina Tapia Tovar; 1José Ramiro Alemán López; 1Olivia Sánchez García; 1Magaly Alejandra Orenday Tapia";1 - Universidad Autónoma de Aguascalientes
5436 ;17. Trabajo y Restructuración Productiva;1José Angel Cerón Hernández;1 - Universidad Autónoma Metropolitana - Iztapalapa
5438 ;19. Acciones Colectivas y Movimientos Sociales;1Alexandre Santos Arantes De Souza;1 - Universidade Federal da Paraíba / Observatório de Políticas Culturais da UFPB
5439 ;12. sociología de la cultura, arte e interculturalidad;1Liliana Duran Cruz;1 - Escuela Normal de Especialización
5440 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Susana Larios;1 - UTecMilenio
5441 ;24. Sociología de la Educación y Políticas Educativas;1Monica Flores Romano;1 - BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA
5442 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Leticia Sánchez García;1 - El Colegio de México
5443 ;24. Sociología de la Educación y Políticas Educativas;"1Yareny Alejandra Sala Hernadéz; 1Eduardo Domingo Ovando Ramos; 1Bertha Elena Barrera Díaz; 1Reyna Victoria Sánchez Hernandéz; 1Vanessa De Los Ángeles Maldonado Pérez";1 - Universidad Juárez Autónoma de Tabasco
5445 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Daniela Fonseca; 1Mario Bonilla; 1Fabiola Bermudez; 1Carolina Caliendo; 1Alejandro Castro; 1Jose Lopez";1 - Universidad de Costa Rica
5446 ;20. Sociología de la Religión;1Berny Jiménez;1 - Universidad de Costa Rica
5447 ;05. Desarrollo Rural y cuestión agraria;1Luis Gilberto Conde Betanzos;1 - BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA
5449 ;22. Sociología del Ocio y el Deporte;1Ariana Mendoza Fragoso;1 - UNAM
5450 ;03. Producción, Consumos Culturales y Medios de Comunicación;"1Miguel Angel Padilla Reyes; 1Luis Gilberto Conde Betanzos; 1Juan Carlos Tepole Ixtacua";1 - Benemerita Universidad Autonoma de Puebla.
5451 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Francini Durán López; 1Ernesto Herra Castro";1 - Universidad Nacional
5453 ;20. Sociología de la Religión;1Daniela Fonseca;1 - Universidad de Costa Rica
5454 ;26. Sociología de los Cuerpos y las Emociones;1Raquel Ortiz;1 - Tecnológico de Monterrey
5455 ;03. Producción, Consumos Culturales y Medios de Comunicación;1David Maroto Gómez;1 - Universidad de Costa Rica
5456 ;26. Sociología de los Cuerpos y las Emociones;1Dayron De León Castillo;1 - Universidad de Costa Rica
5457 ;24. Sociología de la Educación y Políticas Educativas;1Sylvia Marchena Villalobos;1 - Ministerio de Educación Pública
5458 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Mario Enrique Pinea Talavera;1 - Universidad de Costa Rica
5459 ;15. Metodología y Epistemología de las Ciencias Sociales;1Moises Mosheh Mitelhaus Toledo;1 - Universidad Autónoma Metropolitana, Unidad Xochimilco
5460 ;06. Imaginarios Sociales y Memoria;1Ma. Guadalupe Medina Márquez;1 - Universidad Autónoma del Estado de Morelos
5461 ;26. Sociología de los Cuerpos y las Emociones;"1Isabella Páez Zúñiga; 1Montserrat Perez Salas; 1Arlett Naranjo Montenegro";1 - Universidad Nacional
5462 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Laura Elena Arellano Rivera; 1Fabiola González Román; 1Gloria Machain Ibarra";1 - Universidad Autónoma de Nayarit
5464 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Alba Campos;1 - FLACSO México
5465 ;18. Salud y Seguridad Social;"1Nelsy Elizabeth Sandoval Diaz; 1Michell Alejandra Ochoa Ordoñez";1 - UNAH
5466 ;25. Integración Regional, Geopolítica y Desarrollo;"1Aida Alvarado Borrego; 1Marcela Rebeca Contreras Loera";1 - Universidad de Occidente
5467 ;17. Trabajo y Restructuración Productiva;1Santiago Garcés Correa;1 - Universidad Autónoma Metropolitana - Unidad Iztapalapa
5469 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Génesis Estefanía Rodríguez Camargo; 1Ricardo Valverde Gutiérrez";1 - Universidad Autónoma de Ciudad Juárez
5470 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Susana Alejandra Villalobos Alavez; 1Valeria Aparicio Benitez";1 - Universidad Autónoma de Ciudad Juárez
5471 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Vanina Ferreccio;1 - Universidad Nacional del Litoral
5472 ;01. Ciencia, Tecnologías e Innovación;"1Ever Sánchez Osorio; 1Joaliné Pardo Núñez; 1David Israel Contreras Medina; 1María De Lourdes Flores López; 1Ariel Vázquez Elorza";1 - Centro de Investigación y Asistencia en Tecnología y Diseño del Estado de Jalisco. A.C. Laboratorio de Prospección Tecnológica (PROTEAA)
5473 ;07. Desarrollo Territorial, Desigualdades y descentralización;1Alicia Torres Rodríguez;1 - CUCSH-UNIVERSIDAD DE GUADALAJARA
5474 ;18. Salud y Seguridad Social;"1Alejandra Velasco Rangel; 1Claudia Guadalupe Espinosa Ortega";1 - Universidad Autónoma Metropolitana-Iztapalapa
5475 ;19. Acciones Colectivas y Movimientos Sociales;1Miguel Angel Padilla Reyes;1 - Benemérita Universidad Autónoma de Puebla
5476 ;15. Metodología y Epistemología de las Ciencias Sociales;1Laura Juliana Gómez García;1 - BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA
5477 ;24. Sociología de la Educación y Políticas Educativas;"1Teresa Leonor Gonzalez; 1Laura Troncoso; 1Griselda Gimenez";1 - UNIVERSIDAD NACIONAL DE CUYO FACULTAD DE EDUCACIÓN ELEMENTAL Y ESPECIAL
5479 ;12. sociología de la cultura, arte e interculturalidad;1Oscar Raùl Cavero Mendoza;1 - PUCP
5481 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Magali Sanchez Garcia;1 - Maestría Sociología-BUAP Instituto de Ciencias Sociales y Humanidades
5483 ;15. Metodología y Epistemología de las Ciencias Sociales;1Norma Beatriz Andrade;1 - Grupo de Estudios Sociales Agrarios. Facultad de Derecho y Ciencias Sociales. Universidad Nacional del Comahue
5484 ;24. Sociología de la Educación y Políticas Educativas;1Mauricio Muñoz Landázuri;1 - Universidad de Guayaquil
5485 ;26. Sociología de los Cuerpos y las Emociones;1Karla Alejandra Contreras Tinoco;1 - CIESAS-Occidente
5486 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Araceli Nataly Hernández Bautista;1 - Uam- Iztapalapa
5487 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Ana Silvia Monzón;1 - FLACSO-Guatemala
5488 ;18. Salud y Seguridad Social;1Maria Del Pilar Lourdes Guillen Nuñez;1 - UNIVERSIDAD NACIONAL DE SAN AGUSTIN AREQUIPA PERU
5489 ;26. Sociología de los Cuerpos y las Emociones;1Miguel Pereira Da Silva Doutor;1 - Universidade Federal de Sergipe
5490 ;01. Ciencia, Tecnologías e Innovación;1José Nolasco Monardez Sarzosa;1 - UNIVERSIDAD CENTRAL DE CHILE
5491 ;23. Corrupción, Violencia Social, Seguridad y Defensa;"1Miguel Angel Escalante Cantú; 1Mariela Cristell Hernández Pérez";1 - Universidad Juárez Autónoma de Tabasco
5492 ;18. Salud y Seguridad Social;"1Bonan Claudia; 2Lowy Ilana; 1Teixeira Luiz";1 - Fundação Oswaldo Cruz, 2 - Cermes
5493 ;26. Sociología de los Cuerpos y las Emociones;1Fernanda Rocha;1 - Universidade Federal da Paraíba
5494 ;01. Ciencia, Tecnologías e Innovación;"1Claudia Bonan; 1Andreza Nakano; 1Luiz Teixeira";1 - Fundação Oswaldo Cruz
5496 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;"1Estela Pérez Moncunill; 2Carolina Pesuto; 3Ignacio Garcia";1 - Fac. de C. Politica. UNR - Fac. Cs. Económicas. UNL, 2 - Fac. de C. Politica. UNR, 3 - Fac. Cs. Económicas. UNL
5497 ;01. Ciencia, Tecnologías e Innovación;1Ronaldo Augusto Campos Pessoa;1 - Universidade Federal do Tocantins
5498 ;18. Salud y Seguridad Social;1Maribel Ramos Hernández;1 - Universidad de Playa Ancha
5499 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Juliana Santos Pinheiro;1 - Universidade Federal Rural do Rio de Janeiro (UFRRJ)
5500 ;19. Acciones Colectivas y Movimientos Sociales;1Ricardo Ayala;1 - Ghent University, Belgium
5501 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Heitor Lamartine Da Silva; 1José Adilson Filho";1 - Núcleo de Pesquisas da Faculdade de Filosofia, Ciências e Letras de Caruaru
5502 ;19. Acciones Colectivas y Movimientos Sociales;1Rafael De Souza;1 - USP
5504 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Priscila Ambrozio Gonçalves;1 - PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO - PUC Rio
5505 ;16. Universidad Latinoamericana: interpelaciones y desafíos;1Glauber Aquiles Sezerino;1 - École des hautes études en sciences sociales
5506 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Iván Galvani;1 - IdIHCS-Universidad Nacional de La Plata
5507 ;17. Trabajo y Restructuración Productiva;1Juan José Vega;1 - Universidad Nacional de Córdoba
5508 ;14. Medio Ambiente, Sociedad y Desarrrollo Sustentable;1Daniel Cajarville Fernández;1 - Universidade Federal Fluminense
5509 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Vivian Matias Dos Santos;1 - HYPATIA/UFPE
5510 ;15. Metodología y Epistemología de las Ciencias Sociales;"1Alejandra María Rovacio; 1Pamela Luz Ingignioli";1 - Facultad de Ciencias Económicas,Jurídicas y Sociales- Universidad Nacional de San Luis
5511 ;23. Corrupción, Violencia Social, Seguridad y Defensa;1Gaston Bosio;1 - UNER
5512 ;01. Ciencia, Tecnologías e Innovación;1Karina Cursino;1 - UESPI / UFMG
5513 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;"1Rachel De Castro Almeida; 2Savio Guimarães; 3Patrícia Pereira";1 - Pontifícia Universidade Católica de Minas Gerias, 2 - UniCeub, 3 - FCSH-UNL
5514 ;17. Trabajo y Restructuración Productiva;1Raquel Duaibs;1 - Centro Estadual de Educação Tecnológica Paula Souza
5515 ;17. Trabajo y Restructuración Productiva;1Luciana Garcia De Mello;1 - UFRGS
5516 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Raquel Duaibs;1 - Centro Estadual de Educação Tecnológica Paula Souza
5517 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Paulo Damián Aniceto;1 - Centro de Investigación de la Facultad de Filosofía y Humanidades de la UNC
5518 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Glauber Aquiles Sezerino;1 - École des hautes études en sciences sociales
5519 ;15. Metodología y Epistemología de las Ciencias Sociales;1Elizabeth Del Valle Magallanes;1 - FCEJS-UNSL
5520 ;15. Metodología y Epistemología de las Ciencias Sociales;"1Vilma Paura; 2Carla Zibecchi";1 - Universidad de Tres de Febrero, 2 - CONICET
5521 ;19. Acciones Colectivas y Movimientos Sociales;"1Benedita De Cássia Ferreira Costa Cássia; 1Rarielle Rodrigues Lima Rarielle";1 - Universidade Federal do Maranhão - UFMA
5522 ;09. Estructura Social, Dinámica Demográfica y Migraciones;1Raúl Javier Yudi;1 - UNSa
5524 ;08. Desigualdad, Pobreza y Exclusión Social;1Lina Marcela Marín Moreno;1 - Universidad de Valparaiso- Universidad de Salamanca
5525 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Maria Ignacia Banda Carcamo;1 - London School of Economics - Universidad de Valparaiso
5527 ;16. Universidad Latinoamericana: interpelaciones y desafíos;"1Tomas Koch; 2Raf Vanderstraeten";1 - Universidad de Playa Ancha, 2 - Ghent University
5528 ;19. Acciones Colectivas y Movimientos Sociales;1Cristian Jamett;1 - Universidad Arturo Prat
5529 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Liliana Demirdjian;1 - UBA - Untref
5530 ;19. Acciones Colectivas y Movimientos Sociales;1Costa De Almeida Brena;1 - PUC-Rio
5532 ;02. Ciudades Latinoamericanas en el Nuevo Milenio;1Juliana Marcus;1 - Instituto de Investigaciones Gino Germani-Universidad de Buenos Aires / CONICET
5533 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Viviana Boza;1 - Universidad Nacional de Costa Rica
5534 ;19. Acciones Colectivas y Movimientos Sociales;1Gabriel Souza Bastos;1 - CPDA/UFRRJ
5535 ;17. Trabajo y Restructuración Productiva;"1Diego Szlechter; 2Florencia Luci; 3Marcela Zangaro";1 - UNGS, 2 - IIGG-UBA, 3 - IESAC-UNQ
5536 ;19. Acciones Colectivas y Movimientos Sociales;1Guimaraes Wanda;1 - PUC RIO
5537 ;07. Desarrollo Territorial, Desigualdades y descentralización;1Juliana Marcus;1 - Instituto de Investigaciones Gino Germani (UBA) / CONICET
5538 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;"1Rarielle Rodrigues Lima; 1Sandra Maria Nascimento Sousa";1 - UFMA
5540 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Viviana Boza Chacón;1 - Universidad Nacional de Costa Rica
5541 ;21. Sociología de la Niñez, Juventud y Envejecimiento;1Silvia Elena Rojas;1 - Universidad Nacional
5542 ;24. Sociología de la Educación y Políticas Educativas;"1Valeria Vivas Arce; 2Martin Mollo";1 - Facultad de Periodismo y Comunicación Social de la Universidad Nacional de La Plata - Organismo Provincial de Niñez y Adolescencia de la provincia de Buenos Aires, 2 - Facultad de Ciencias Naturales y Museo de la Universidad Nacional de La Plata - Organismo Provincial de Niñez y Adolescencia de la provincia de Buenos Aires
5543 ;01. Ciencia, Tecnologías e Innovación;"1Tânia Maria Dias; 1Claudia Bonan; 1Andreza Rodrigues Nakano; 1Luiz Antônio Teixeira; 1Ivia Maksud";1 - Instituto Fernandes Figueira IFF/Fiocruz
5544 ;01. Ciencia, Tecnologías e Innovación;"1Cristiane Vanessa Da Silva Cristiane; 1Tania Maria Dias Tania; 1Claudia Bonan Claudia; 1Andreza Nakano Andreza; 1Ivia Maksud Ivia";1 - IFF/Fiocruz
5545 ;24. Sociología de la Educación y Políticas Educativas;"1Welber Silva Araujo; 1Luiz Jesus Santos Bonfim";1 - Universidade Federal do Piauí
5546 ;06. Imaginarios Sociales y Memoria;1Jenny María Contreras Briceño;1 - Universidad Estatal a Distancia
5548 ;06. Imaginarios Sociales y Memoria;1Carlos Reinke;1 - UNIVERSIDADE FEEVALE
5549 ;24. Sociología de la Educación y Políticas Educativas;"1Rarielle Rodrigues Lima; 1Benedita De Cassia Ferreira Costa; 1Thiago Fernandes Sousa";1 - UFMA
5550 ;10. Estudios políticos, Sociojurídicos e Instituciones;1Hugo Armando Galindo;1 - Nájera
5552 ;19. Acciones Colectivas y Movimientos Sociales;1Simón Ladino Cano;1 - Universidad Nacional de Colombia
5553 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Nolberto Acosta Varela;1 - Universidad Autónoma de Ciudad Juárez
5554 ;11. Género, Feminismos y sus aportes a las Ciencias Sociales;1Carlos Reinke;1 - UNIVERSIDADE FEEVALE
5555 ;08. Desigualdad, Pobreza y Exclusión Social;"1Jorge Balderas Domínguez; 1Luis Manuel Lara Rodríguez";1 - Universidad Autónoma de Ciudad Juárez
5556 ;18. Salud y Seguridad Social;"1Ángel Serafín Cuello Polanco; 1Patricia Cristina Cáceres Soto";1 - Universidad Autónoma de Santo Domingo (UASD)
5558 ;18. Salud y Seguridad Social;"1Andrés Martín Santana Carvajal; 1Alina Dioné Cárdenas Marín; 1Miguel Ángel Bustillos Arce; 1Yolanda Oliva Peña";1 - UNIVERSIDAD AUTONOMA DE YUCATÁN
5559 ;26. Sociología de los Cuerpos y las Emociones;1Marga Sequeira;1 - Teorética
5562 ;26. Sociología de los Cuerpos y las Emociones;1Leidy Johana Lancheros;1 - Universidad del Valle
5564 ;04. Estado, Legitimidad, Gobernabilidad y Democracia;1Luisa Natalia Caruso;1 - Universidad Pedagógica Nacional
5565 ;01. Ciencia, Tecnologías e Innovación;"1Luiz Gustavo Do Nascimento Oliveira; 1Antonia Leila Santos Silva; 1Josenildo De Souza E Silva; 1Michelle Pinheiro Vetorelli; 1Jussara Gonçalves Souza E Silva; 1Anisio Pereira De Sousa Neto";1 - UFPI
